id,filename,resolved_path,ground_truth,predicted,video_label,video_confidence,context,claim,total_frames,real_frames,fake_frames,avg_fake_probability,frame_fake_ratio,has_audio,face_ratio,duration_seconds,encoder,suspicious_encoder,generator_detected,generator_keyword,public_context_metadata,has_creation_time,has_device_info,real_score,fake_score
vid_013,vid_real_human_youtube_014.mp4,data/evaluation/videos/real/vid_real_youtube_human_014.mp4,REAL,REAL,REAL,0.8888888888888888,personal_human,vid real youtube human 014,32,18,14,0.429,0.438,True,0.91,107.35725,Lavf62.3.100,False,False,,False,False,False,8,1
vid_014,vid_real_human_youtube_015.mp4,data/evaluation/videos/real/vid_real_youtube_human_015.mp4,REAL,REAL,REAL,0.6666666666666666,personal_human,vid real youtube human 015,32,8,24,0.673,0.75,True,0.81,217.833333,Lavf62.3.100,False,False,,False,False,False,6,3
vid_015,vid_real_nonhuman_youtube_009.mp4,data/evaluation/videos/real/vid_real_youtube_nonhuman_009.mp4,REAL,REAL,REAL,0.6,fictional_or_animated,vid real youtube nonhuman 009,32,3,29,0.895,0.906,True,0.16,262.752245,Lavf60.3.100,False,False,,True,False,False,6,4
vid_016,vid_fake_human_gemini_001.mp4,data/evaluation/videos/fake/vid_fake_human_gemini_001.mp4,FAKE,FAKE,FAKE,0.7777777777777778,public_event_or_unknown,vid fake human gemini 001,8,4,4,0.507,0.5,True,0.38,8.0,Google,True,True,google,False,False,False,2,7
vid_017,vid_fake_human_gemini_002.mp4,data/evaluation/videos/fake/vid_fake_human_gemini_002.mp4,FAKE,FAKE,FAKE,1.0,public_human_content,vid fake human gemini 002,8,0,8,1.0,1.0,True,1.0,8.0,Google,True,True,google,False,False,False,0,9
vid_018,vid_fake_human_gemini_007.mp4,data/evaluation/videos/fake/vid_fake_human_gemini_007.mp4,FAKE,FAKE,FAKE,0.5555555555555556,public_event_or_unknown,vid fake human gemini 007,8,7,1,0.184,0.125,True,0.38,8.0,Google,True,True,google,False,False,False,4,5
vid_019,vid_fake_human_gemini_008.mp4,data/evaluation/videos/fake/vid_fake_human_gemini_008.mp4,FAKE,FAKE,FAKE,0.5555555555555556,public_human_content,vid fake human gemini 008,8,8,0,0.062,0.0,True,0.88,8.0,Google,True,True,google,False,False,False,4,5
vid_020,vid_fake_human_gemini_009.mp4,data/evaluation/videos/fake/vid_fake_human_gemini_009.mp4,FAKE,FAKE,FAKE,1.0,public_human_content,vid fake human gemini 009,8,0,8,0.999,1.0,True,0.88,8.0,Google,True,True,google,False,False,False,0,9
vid_021,vid_fake_human_gemini_010.mp4,data/evaluation/videos/fake/vid_fake_human_gemini_010.mp4,FAKE,FAKE,FAKE,0.7777777777777778,public_human_content,vid fake human gemini 010,8,4,4,0.434,0.5,True,0.62,8.0,Google,True,True,google,False,False,False,2,7
vid_022,vid_fake_human_gemini_013.mp4,data/evaluation/videos/fake/vid_fake_human_gemini_013.mp4,FAKE,FAKE,FAKE,1.0,public_human_content,vid fake human gemini 013,8,0,8,0.655,1.0,True,1.0,7.792,Google,True,True,google,False,False,False,0,8
vid_023,vid_fake_human_gemini_014.mp4,data/evaluation/videos/fake/vid_fake_human_gemini_014.mp4,FAKE,FAKE,FAKE,1.0,public_event_or_unknown,vid fake human gemini 014,8,2,6,0.723,0.75,True,0.38,8.0,Google,True,True,google,False,False,False,0,8
vid_024,vid_fake_nonhuman_gemini_003.mp4,data/evaluation/videos/fake/vid_fake_nonhuman_gemini_003.mp4,FAKE,FAKE,FAKE,1.0,public_event_or_unknown,vid fake nonhuman gemini 003,8,0,8,0.994,1.0,True,0.25,8.0,Google,True,True,google,False,False,False,0,9
vid_025,vid_fake_nonhuman_gemini_004.mp4,data/evaluation/videos/fake/vid_fake_nonhuman_gemini_004.mp4,FAKE,FAKE,FAKE,1.0,public_human_content,vid fake nonhuman gemini 004,8,0,8,0.954,1.0,True,1.0,8.0,Google,True,True,google,False,False,False,0,9
vid_026,vid_fake_nonhuman_gemini_005.mp4,data/evaluation/videos/fake/vid_fake_nonhuman_gemini_005.mp4,FAKE,FAKE,FAKE,1.0,fictional_or_animated,vid fake nonhuman gemini 005,8,0,8,0.964,1.0,True,0.12,8.0,Google,True,True,google,False,False,False,0,10
vid_027,vid_fake_nonhuman_gemini_006.mp4,data/evaluation/videos/fake/vid_fake_nonhuman_gemini_006.mp4,FAKE,FAKE,FAKE,1.0,public_human_content,vid fake nonhuman gemini 006,8,0,8,0.985,1.0,True,0.62,8.0,Google,True,True,google,False,False,False,0,9
vid_028,vid_fake_nonhuman_gemini_011.mp4,data/evaluation/videos/fake/vid_fake_nonhuman_gemini_011.mp4,FAKE,FAKE,FAKE,1.0,fictional_or_animated,vid fake nonhuman gemini 011,8,2,6,0.723,0.75,True,0.12,8.0,Google,True,True,google,False,False,False,0,9
vid_029,vid_fake_nonhuman_gemini_015.mp4,data/evaluation/videos/fake/vid_fake_nonhuman_gemini_015.mp4,FAKE,FAKE,FAKE,0.625,public_event_or_unknown,vid fake nonhuman gemini 015,8,6,2,0.287,0.25,True,0.25,8.0,Google,True,True,google,False,False,False,3,5
vid_030,vid_fake_nonhuman_invideo_012.mp4,data/evaluation/videos/fake/vid_fake_nonhuman_invideo_012.mp4,FAKE,FAKE,FAKE,1.0,public_human_content,vid fake nonhuman invideo 012,8,3,5,0.618,0.625,True,0.62,8.0,Lavf58.20.100,False,True,invideo,False,False,False,0,7
