id,path,ground_truth,base_label,base_confidence,base_fake_probability,predicted,predicted_confidence,calibrated_fake_probability
img_019,data/evaluation/images/real/img_real_nonhuman_google_019.jpeg,REAL,REAL,0.9982176423072815,0.00178229296579957,REAL,0.5399999916553497,0.46000000834465027
img_020,data/evaluation/images/real/img_real_nonhuman_self_002.jpg,REAL,FAKE,0.8995906114578247,0.8995906114578247,REAL,0.6866666674613953,0.31333333253860474
img_021,data/evaluation/images/real/img_real_nonhuman_self_003.jpg,REAL,FAKE,0.9891195297241211,0.9891195297241211,REAL,0.776666671037674,0.22333332896232605
img_022,data/evaluation/images/real/img_real_nonhuman_self_011.jpg,REAL,REAL,0.9995173215866089,0.0004826746298931539,REAL,0.7933333367109299,0.20666666328907013
img_023,data/evaluation/images/real/img_real_nonhuman_self_014.jpg,REAL,REAL,0.7929713726043701,0.2070285677909851,REAL,0.6966666579246521,0.3033333420753479
img_024,data/evaluation/images/real/img_real_nonhuman_self_015.jpg,REAL,FAKE,0.9913159608840942,0.9913159608840942,REAL,0.5333333313465118,0.46666666865348816
img_025,data/evaluation/images/real/img_real_nonhuman_self_022.jpeg,REAL,FAKE,0.999894380569458,0.999894380569458,FAKE,0.503333330154419,0.503333330154419
img_026,data/evaluation/images/real/img_real_nonhuman_self_024.jpeg,REAL,REAL,0.999139666557312,0.0008602581219747663,FAKE,0.5899999737739563,0.5899999737739563
img_026,data/evaluation/images/fake/ img_fake_human_picsart_024.jpeg,FAKE,REAL,0.9999605417251587,3.94708476960659e-05,REAL,0.8033333271741867,0.1966666728258133
img_027,data/evaluation/images/fake/img_fake_human_DeepDream_004.jpeg,FAKE,REAL,0.6415371298789978,0.3584628701210022,FAKE,0.6600000262260437,0.6600000262260437
img_028,data/evaluation/images/fake/img_fake_human_Leonardo_006.jpeg,FAKE,FAKE,0.9999123811721802,0.9999123811721802,FAKE,0.8533333539962769,0.8533333539962769
img_029,data/evaluation/images/fake/img_fake_human_Midjourney_007.jpeg,FAKE,FAKE,0.9819391369819641,0.9819391369819641,FAKE,0.9566666483879089,0.9566666483879089
img_030,data/evaluation/images/fake/img_fake_human_OpenArt_008.jpeg,FAKE,FAKE,0.9868434071540833,0.9868434071540833,FAKE,0.6800000071525574,0.6800000071525574
img_031,data/evaluation/images/fake/img_fake_human_artbreeder_002.jpeg,FAKE,FAKE,0.999903678894043,0.999903678894043,FAKE,0.7233333587646484,0.7233333587646484
img_032,data/evaluation/images/fake/img_fake_human_craiyon_003.jpeg,FAKE,FAKE,0.9997005462646484,0.9997005462646484,FAKE,0.6033333539962769,0.6033333539962769
img_033,data/evaluation/images/fake/img_fake_human_firefly_001.jpeg,FAKE,REAL,0.9889364838600159,0.01106354407966137,FAKE,0.7599999904632568,0.7599999904632568
img_034,data/evaluation/images/fake/img_fake_human_firefly_005.jpeg,FAKE,FAKE,0.9564390182495117,0.9564390182495117,FAKE,0.8166666626930237,0.8166666626930237
img_035,data/evaluation/images/fake/img_fake_human_fotor_011.jpeg,FAKE,FAKE,0.9984456896781921,0.9984456896781921,FAKE,0.8166666626930237,0.8166666626930237
img_036,data/evaluation/images/fake/img_fake_human_gemini_012.jpeg,FAKE,REAL,0.9998559951782227,0.00014400451618712395,FAKE,0.5799999833106995,0.5799999833106995
img_037,data/evaluation/images/fake/img_fake_human_gemini_013.jpeg,FAKE,FAKE,0.9470418691635132,0.9470418691635132,FAKE,0.8533333539962769,0.8533333539962769
img_038,data/evaluation/images/fake/img_fake_human_gemini_014.jpeg,FAKE,REAL,0.6984997987747192,0.3015001714229584,FAKE,0.9566666483879089,0.9566666483879089
img_039,data/evaluation/images/fake/img_fake_human_gemini_015.jpeg,FAKE,REAL,0.9653865694999695,0.034613464027643204,FAKE,0.7266666889190674,0.7266666889190674
img_040,data/evaluation/images/fake/img_fake_human_gemini_019.jpeg,FAKE,FAKE,0.9998142123222351,0.9998142123222351,FAKE,0.9133333563804626,0.9133333563804626
img_041,data/evaluation/images/fake/img_fake_human_gemini_022.jpeg,FAKE,REAL,0.999836802482605,0.000163215197972022,FAKE,0.6433333158493042,0.6433333158493042
img_042,data/evaluation/images/fake/img_fake_human_gpt_016.jpeg,FAKE,FAKE,0.799005925655365,0.799005925655365,FAKE,0.7300000190734863,0.7300000190734863
img_043,data/evaluation/images/fake/img_fake_human_gpt_017.jpeg,FAKE,FAKE,0.9970399737358093,0.9970399737358093,FAKE,0.5366666913032532,0.5366666913032532
img_044,data/evaluation/images/fake/img_fake_human_gpt_018.jpeg,FAKE,FAKE,0.9503965973854065,0.9503965973854065,FAKE,0.8999999761581421,0.8999999761581421
img_045,data/evaluation/images/fake/img_fake_human_gpt_021.jpeg,FAKE,FAKE,0.9999736547470093,0.9999736547470093,FAKE,0.6666666865348816,0.6666666865348816
img_046,data/evaluation/images/fake/img_fake_human_photoroom_025.jpeg,FAKE,FAKE,0.9996628761291504,0.9996628761291504,FAKE,0.9666666388511658,0.9666666388511658
img_047,data/evaluation/images/fake/img_fake_human_runway_020.jpeg,FAKE,FAKE,0.9997339844703674,0.9997339844703674,FAKE,0.7433333396911621,0.7433333396911621
img_048,data/evaluation/images/fake/img_fake_human_stableDiffusion_009.jpeg,FAKE,REAL,0.9769744873046875,0.02302553690969944,REAL,0.7966666668653488,0.20333333313465118
img_049,data/evaluation/images/fake/img_fake_non-human_gpt_023.jpeg,FAKE,FAKE,0.9858443737030029,0.9858443737030029,REAL,0.6366666555404663,0.3633333444595337
img_050,data/evaluation/images/fake/img_fake_non-human_nightcafe_010.jpeg,FAKE,REAL,0.5994241833686829,0.4005758762359619,FAKE,0.846666693687439,0.846666693687439
